skupina_diagnoz;kod_hlavnej_diagnozy;nazov_hlavnej_diagnozy
Skupina onkologických diagnóz 83;d132;Nezhubný nádor dvanástnika
Skupina onkologických diagnóz 84;c21-;Zhubný nádor anusu a análneho kanála
Skupina onkologických diagnóz 84;c435;Malígny melanóm trupu
Skupina onkologických diagnóz 84;c495;Zhubný nádor spojivového a mäkkého tkaniva malej panvy
Skupina onkologických diagnóz 85;c170;Zhubný nádor dvanástnika
Skupina onkologických diagnóz 85;c171;Zhubný nádor jejúna
Skupina onkologických diagnóz 85;c172;Zhubný nádor ilea
Skupina onkologických diagnóz 85;c784;Sekundárny zhubný nádor tenkého čreva
Skupina onkologických diagnóz 85;d132;Nezhubný nádor dvanástnika
Skupina onkologických diagnóz 85;d139;Nezhubný nádor na nepresne určenom mieste tráviacej sústavy
Skupina onkologických diagnóz 86;c488;Zhubný nádor retroperitonea a pobrušnice presahujúci viaceré oblasti
Skupina onkologických diagnóz 86;c494;Zhubný nádor spojivového a mäkkého tkaniva brucha
Skupina onkologických diagnóz 86;c62-;Zhubný nádor semenníka
Skupina onkologických diagnóz 86;c762;Zhubný nádor na iných a nepresne určených miestach brucha
Skupina onkologických diagnóz 87;c64;Zhubný nádor obličky okrem obličkovej panvičky
Skupina onkologických diagnóz 87;c65;Zhubný nádor obličkovej panvičky
Skupina onkologických diagnóz 87;c74-;Zhubný nádor nadobličky
Skupina onkologických diagnóz 87;c791;Sekundárny zhubný nádor močového mechúra a iných a bližšie neurčených močových orgánov
Skupina onkologických diagnóz 88;c172;Zhubný nádor ilea
Skupina onkologických diagnóz 88;c494;Zhubný nádor spojivového a mäkkého tkaniva brucha
Skupina onkologických diagnóz 88;c496;Zhubný nádor spojivového a mäkkého tkaniva trupu, bližšie neurčený
Skupina onkologických diagnóz 88;c498;Zhubný nádor spojivového a mäkkého tkaniva presahujúci viaceré oblasti
Skupina onkologických diagnóz 88;c784;Sekundárny zhubný nádor tenkého čreva
Skupina onkologických diagnóz 89;c241;Zhubný nádor ampulla Vateri
Skupina onkologických diagnóz 89;c250;Zhubný nádor hlavy podžalúdkovej žľazy
Skupina onkologických diagnóz 89;c494;Zhubný nádor spojivového a mäkkého tkaniva brucha
Skupina onkologických diagnóz 89;c788;Sekundárny zhubný nádor iných a bližšie neurčených tráviacich orgánov
Skupina onkologických diagnóz 89;d137;Nezhubný nádor endokrinného pankreasu
Skupina onkologických diagnóz 9;c15-;Zhubný nádor pažeráka
Skupina onkologických diagnóz 9;c16-;Zhubný nádor žalúdka
Skupina onkologických diagnóz 9;c381;Zhubný nádor predného mediastína
Skupina onkologických diagnóz 9;c382;Zhubný nádor zadného mediastína
Skupina onkologických diagnóz 9;c383;Zhubný nádor bližšie neurčenej časti mediastína
Skupina onkologických diagnóz 9;c488;Zhubný nádor retroperitonea a pobrušnice presahujúci viaceré oblasti
Skupina onkologických diagnóz 9;c78-;Sekundárny zhubný nádor dýchacích a tráviacich orgánov
Skupina onkologických diagnóz 90;c187;Zhubný nádor esovitej časti hrubého čreva
Skupina onkologických diagnóz 90;c188;Zhubný nádor hrubého čreva presahujúci viaceré oblasti
Skupina onkologických diagnóz 90;c189;Zhubný nádor hrubého čreva, bližšie neurčený
Skupina onkologických diagnóz 90;c19;Zhubný nádor rektosigmoidového spojenia hrubého čreva
Skupina onkologických diagnóz 90;c20;Zhubný nádor konečníka
Skupina onkologických diagnóz 91;c55;Zhubný nádor bližšie neurčenej časti maternice
Skupina onkologických diagnóz 91;c56;Zhubný nádor vaječníka
Skupina onkologických diagnóz 91;d069;Karcinóm in situ krčka maternice, bližšie neurčený
Skupina onkologických diagnóz 91;d27;Nezhubný nádor vaječníka
Skupina onkologických diagnóz 91;d282;Nezhubný nádor vajíčkovodov a väzov maternice
Skupina onkologických diagnóz 92;c241;Zhubný nádor ampulla Vateri
Skupina onkologických diagnóz 92;c250;Zhubný nádor hlavy podžalúdkovej žľazy
Skupina onkologických diagnóz 92;c788;Sekundárny zhubný nádor iných a bližšie neurčených tráviacich orgánov
Skupina onkologických diagnóz 92;d137;Nezhubný nádor endokrinného pankreasu
Skupina onkologických diagnóz 93;c252;Zhubný nádor chvosta podžalúdkovej žľazy
Skupina onkologických diagnóz 93;c74-;Zhubný nádor nadobličky
Skupina onkologických diagnóz 94;c23;Zhubný nádor žlčníka
Skupina onkologických diagnóz 94;c240;Zhubný nádor mimopečeňových žlčových ciest
Skupina onkologických diagnóz 94;c248;Zhubný nádor žlčových ciest presahujúci viaceré oblasti
Skupina onkologických diagnóz 94;d135;Nezhubný nádor extrahepatálnych žlčových ciest
Skupina onkologických diagnóz 95;c64;Zhubný nádor obličky okrem obličkovej panvičky
Skupina onkologických diagnóz 95;c65;Zhubný nádor obličkovej panvičky
Skupina onkologických diagnóz 95;d300;Nezhubný nádor obličky
Skupina onkologických diagnóz 95;d301;Nezhubný nádor obličkovej panvičky
Skupina onkologických diagnóz 96;c73;Zhubný nádor štítnej žľazy
Skupina onkologických diagnóz 96;c750;Zhubný nádor prištítnej žľazy
Skupina onkologických diagnóz 96;d34;Nezhubný nádor štítnej žľazy
Skupina onkologických diagnóz 96;d351;Nezhubný nádor prištítnej žľazy
Skupina onkologických diagnóz 97;c172;Zhubný nádor ilea
Skupina onkologických diagnóz 97;c784;Sekundárny zhubný nádor tenkého čreva
Skupina onkologických diagnóz 97;d132;Nezhubný nádor dvanástnika
Skupina onkologických diagnóz 98;c171;Zhubný nádor jejúna
Skupina onkologických diagnóz 98;c172;Zhubný nádor ilea
Skupina onkologických diagnóz 98;d133;Nezhubný nádor iných a bližšie neurčených častí tenkého čreva
Skupina onkologických diagnóz 99;c170;Zhubný nádor dvanástnika
Skupina onkologických diagnóz 99;c784;Sekundárny zhubný nádor tenkého čreva
Skupina onkologických diagnóz 99;d132;Nezhubný nádor dvanástnika
Stav po transplantácii pečene;z944;Stav po transplantácii pečene
Svalové a nervosvalové ochorenia - vybrané diagnózy I.;g723;Periodická paralýza
Svalové a nervosvalové ochorenia - vybrané diagnózy I.;g728-;Iná myopatie, bližšie určené
Svalové a nervosvalové ochorenia - vybrané diagnózy I.;g729;Myopatia, bližšie neurčená
Svalové a nervosvalové ochorenia - vybrané diagnózy I.;g73-;Choroba s poruchou nervovosvalovej platničky a svalu pri chorobách zatriedených inde
Svalové a nervosvalové ochorenia - vybrané diagnózy I.;p940;Prechodná myasthenia gravis u novorodenca
Svalové a nervosvalové ochorenia - vybrané diagnózy II.;g700;Myasthenia gravis
Svalové a nervosvalové ochorenia - vybrané diagnózy II.;g702;Vrodená a vývinová myasténia
Svalové a nervosvalové ochorenia - vybrané diagnózy II.;g71-;Primárna myopatia
Syndróm respiračnej tiesne [ARDS];j80;Syndróm respiračnej tiesne  [ARDS]
Syndróm spánkového apnoe;e662-;Extrémna obezita s alveolovou hypoventiláciou
Syndróm spánkového apnoe;g473-;Spánkové apnoe
Toxický účinok požitých húb;t620;Toxický účinok požitých húb
Trauma a poúrazové stavy;l02-;Kožný absces, furunkul a karbunkul
Trauma a poúrazové stavy;l031-;Flegmóna iných častí končatín
Trauma a poúrazové stavy;l032;Flegmóna tváre
Trauma a poúrazové stavy;l033;Flegmóna trupu
Trauma a poúrazové stavy;l039;Flegmóna, bližšie neurčená
Trauma a poúrazové stavy;l890-;Dekubitus 1. stupňa
Trauma a poúrazové stavy;l891-;Dekubitus 2. stupňa
Trauma a poúrazové stavy;l892-;Dekubitus 3. stupňa
Trauma a poúrazové stavy;l893-;Dekubitus 4. stupňa
Trauma a poúrazové stavy;m00-;Pyogénna artritída
Trauma a poúrazové stavy;m125-;Úrazová artropatia
Trauma a poúrazové stavy;m164;Poúrazová artróza bedrového kĺbu, obojstranná
Trauma a poúrazové stavy;m165;Iná poúrazová koxartróza
Trauma a poúrazové stavy;m166;Iná sekundárna artróza bedrového kĺbu, obojstranná
Trauma a poúrazové stavy;m167;Iná sekundárna artróza bedrového kĺbu
Trauma a poúrazové stavy;m172;Poúrazová artróza kolenného kĺbu, obojstranná
Trauma a poúrazové stavy;m173;Iná poúrazová artróza kolenného kĺbu
Trauma a poúrazové stavy;m174;Iná sekundárna artróza kolenného kĺbu, obojstranná
Trauma a poúrazové stavy;m175;Iná sekundárna artróza kolenného kĺbu
Trauma a poúrazové stavy;m179;Artróza kolenného kĺbu, bližšie neurčená
Trauma a poúrazové stavy;m182;Poúrazová artróza prvého karpometakarpového kĺbu, obojstranná
Trauma a poúrazové stavy;m183;Iná poúrazová artróza prvého karpometakarpového kĺbu
Trauma a poúrazové stavy;m184;Iná sekundárna artróza prvého karpometakarpového kĺbu, obojstranná
Trauma a poúrazové stavy;m185;Iná sekundárna artróza prvého karpometakarpového kĺbu
Trauma a poúrazové stavy;m189;Artróza prvého karpometakarpového kĺbu, bližšie neurčená
Trauma a poúrazové stavy;m191-;Poúrazová artróza iných kĺbov
Trauma a poúrazové stavy;m192-;Iná sekundárna artróza
Trauma a poúrazové stavy;m199-;Artróza, bližšie neurčená
Trauma a poúrazové stavy;m20-;Získané deformity prstov rúk a nôh
Trauma a poúrazové stavy;m21-;Iné získané deformity končatín
Trauma a poúrazové stavy;m22-;Choroby pately
Trauma a poúrazové stavy;m230-;Ganglion menisku
Trauma a poúrazové stavy;m232-;Poškodenie menisku po starej trhline alebo poranení
Trauma a poúrazové stavy;m233-;Iné poškodenie menisku
Trauma a poúrazové stavy;m234-;Voľné teleso v kolennom kĺbe
Trauma a poúrazové stavy;m235-;Chronická instabilita kolena
Trauma a poúrazové stavy;m236-;Iné spontánne natrhnutie jedného alebo viacerých väzov kolenného kĺbu
Trauma a poúrazové stavy;m238-;Iné vnútorné poškodenie kolenného kĺbu
Trauma a poúrazové stavy;m239-;Vnútorné poškodenie kolenného kĺbu, bližšie neurčené
Trauma a poúrazové stavy;m24-;Iné špecifické poruchy kĺbov
Trauma a poúrazové stavy;m250-;Hemartros
Trauma a poúrazové stavy;m252-;Labilný (uvoľnený) kĺb
Trauma a poúrazové stavy;m253-;Iná instabilita kĺbu
Trauma a poúrazové stavy;m255-;Bolesť kĺbu
Trauma a poúrazové stavy;m256-;Stuhnutie kĺbu, nezatriedené inde
Trauma a poúrazové stavy;m257-;Osteofyt
Trauma a poúrazové stavy;m258-;Iná choroba kĺbov, bližšie určená
Trauma a poúrazové stavy;m259-;Choroba kĺbu, bližšie neurčená
Trauma a poúrazové stavy;m483-;Úrazová spondylopatia
Trauma a poúrazové stavy;m602-;Granulóm z cudzieho telesa v mäkkom tkanive, nezatriedený inde
Trauma a poúrazové stavy;m610-;Myositis ossificans traumatica
Trauma a poúrazové stavy;m620-;Diastáza svalu
Trauma a poúrazové stavy;m624-;Kontraktúra svalu
Trauma a poúrazové stavy;m625-;Zmenšenie a atrofia svalu, nezatriedená inde
Trauma a poúrazové stavy;m626-;Poškodenie svalu z preťaženia
Trauma a poúrazové stavy;m65-;Zápal synoviálnej blany a šľachovej pošvy [synovitída a tendosynovitída]
Trauma a poúrazové stavy;m670;Krátka Achillova šľacha (získaná)
Trauma a poúrazové stavy;m671-;Iná kontraktúra šľachy (šľachovej pošvy)
Trauma a poúrazové stavy;m672-;Hypertrofia synoviálnej blany, nezatriedená inde
Trauma a poúrazové stavy;m674-;Ganglion
Trauma a poúrazové stavy;m678-;Iné choroby synoviálnej blany a šliach, bližšie určené
Trauma a poúrazové stavy;m70-;Choroba mäkkého tkaniva v súvislosti so zaťažovaním, preťažovaním a tlakom
Trauma a poúrazové stavy;m710-;Absces burzy
Trauma a poúrazové stavy;m711-;Iná infekčná burzitída
Trauma a poúrazové stavy;m712;Synoviálna cysta v popliteálnej oblasti [Bakerova cysta]
Trauma a poúrazové stavy;m713-;Iná cysta burzy
Trauma a poúrazové stavy;m714-;Bursitis calcarea
Trauma a poúrazové stavy;m715-;Iná burzitída, nezatriedená inde
Trauma a poúrazové stavy;m718-;Iná burzopatia, bližšie určená
Trauma a poúrazové stavy;m720;Fibromatóza palmárnej aponeurózy (Dupuytrenova kontraktúra)
Trauma a poúrazové stavy;m721;Fibrózne uzlíky pri degeneratívnych (artrotických) zmenách prstov rúk
Trauma a poúrazové stavy;m722;Fibromatóza plantárnej aponeurózy
Trauma a poúrazové stavy;m75-;Poškodenie pleca
Trauma a poúrazové stavy;m76-;Entezopatia dolnej končatiny, okrem nohy
Trauma a poúrazové stavy;m77-;Iná entezopatia
Trauma a poúrazové stavy;m795-;Reziduálne cudzie teleso v mäkkom tkanive
Trauma a poúrazové stavy;m80-;Osteoporóza s patologickou zlomeninou
Trauma a poúrazové stavy;m84-;Porucha celistvosti kosti
Trauma a poúrazové stavy;m861-;Iná akútna osteomyelitída
Trauma a poúrazové stavy;m862-;Subakútna osteomyelitída
Trauma a poúrazové stavy;m864-;Chronická osteomyelitída s fistulou
Trauma a poúrazové stavy;m866-;Iná chronická osteomyelitída
Trauma a poúrazové stavy;m868-;Iná osteomyelitída
Trauma a poúrazové stavy;m869-;Osteomyelitída, bližšie neurčená
Trauma a poúrazové stavy;m870-;Idiopatická aseptická nekróza kosti
Trauma a poúrazové stavy;m871-;Osteonekróza zapríčinená liekmi
Trauma a poúrazové stavy;m872-;Osteonekróza zapríčinená predchádzajúcim úrazom
Trauma a poúrazové stavy;m873-;Iná sekundárna osteonekróza
Trauma a poúrazové stavy;m907-;Zlomenina kosti pri nádore (C00-D48†)
Trauma a poúrazové stavy;m931;Kienböckova choroba dospelých
Trauma a poúrazové stavy;m932;Osteochondritis dissecans
Trauma a poúrazové stavy;m938;Iná osteochondropatia, bližšie určená
Trauma a poúrazové stavy;m939;Osteochondropatia, bližšie neurčená
Trauma a poúrazové stavy;m942-;Chondromalácia
Trauma a poúrazové stavy;m949-;Choroba chrupky, bližšie neurčená
Trauma a poúrazové stavy;m953;Získaná deformita krku
Trauma a poúrazové stavy;m954;Získaná deformita hrudníka a rebra
Trauma a poúrazové stavy;m955;Získaná deformita panvy
Trauma a poúrazové stavy;m958;Iná získaná deformita svalovej a kostrovej sústavy, bližšie určená
Trauma a poúrazové stavy;m959;Získaná deformita svalovej a kostrovej sústavy, bližšie neurčená
Trauma a poúrazové stavy;m960;Pseudoartróza po fúzii alebo artrodéze
Trauma a poúrazové stavy;m966;Zlomenina kosti po vložení ortopedického implantátu, kĺbovej protézy alebo kostnej platničky
Trauma a poúrazové stavy;r571;Hypovolemický šok
Trauma a poúrazové stavy;r572;Septický šok
Trauma a poúrazové stavy;s00-;Povrchové poranenie hlavy
Trauma a poúrazové stavy;s01-;Otvorená rana hlavy
Trauma a poúrazové stavy;s02-;Zlomenina lebky a tvárových kostí
Trauma a poúrazové stavy;s03-;Vykĺbenie, vyvrtnutie a natiahnutie kĺbov a väzov hlavy
Trauma a poúrazové stavy;s04-;Poranenie hlavových nervov
Trauma a poúrazové stavy;s05-;Poranenie oka a očnice
Trauma a poúrazové stavy;s06-;Vnútrolebkové poranenie
Trauma a poúrazové stavy;s07-;Drvivé poranenie hlavy
Trauma a poúrazové stavy;s08-;Úrazová amputácia časti hlavy
Trauma a poúrazové stavy;s09-;Iné a bližšie neurčené poranenie hlavy
Trauma a poúrazové stavy;s10-;Povrchové poranenie krku
Trauma a poúrazové stavy;s11-;Otvorená rana krku
Trauma a poúrazové stavy;s12-;Zlomenina krčnej chrbtice
Trauma a poúrazové stavy;s13-;Vykĺbenie, vyvrtnutie a natiahnutie kĺbov a väzov krku
Trauma a poúrazové stavy;s14-;Poranenie krčných nervov a krčnej miechy
Trauma a poúrazové stavy;s15-;Poranenie krvných ciev v úrovni krku
Trauma a poúrazové stavy;s16;Poranenie svalov a šliach v úrovni krku
Trauma a poúrazové stavy;s17-;Drvivé poranenie krku
Trauma a poúrazové stavy;s18;Úrazová amputácia v úrovni krku
Trauma a poúrazové stavy;s19-;Iné a bližšie neurčené poranenie krku
Trauma a poúrazové stavy;s20-;Povrchové poranenie hrudníka
Trauma a poúrazové stavy;s21-;Otvorená rana hrudníka
Trauma a poúrazové stavy;s22-;Zlomenina rebra (rebier), hrudnej kosti a hrudníkovej chrbtice
Trauma a poúrazové stavy;s23-;Vykĺbenie, vyvrtnutie a natiahnutie kĺbov a väzov hrudníka
Trauma a poúrazové stavy;s24-;Poranenie nervov a miechy v úrovni hrudníka
Trauma a poúrazové stavy;s25-;Poranenie krvných ciev hrudníka
Trauma a poúrazové stavy;s26-;Poranenie srdca
Trauma a poúrazové stavy;s27-;Poranenie iného a bližšie neurčeného vnútrohrudníkového orgánu
Trauma a poúrazové stavy;s28-;Drvivé poranenie hrudníka a úrazová amputácia časti hrudníka
Trauma a poúrazové stavy;s29-;Iné a bližšie neurčené poranenie hrudníka
Trauma a poúrazové stavy;s30-;Povrchové poranenie brucha, drieku a panvy
Trauma a poúrazové stavy;s31-;Otvorená rana brucha, drieku a panvy
Trauma a poúrazové stavy;s32-;Zlomenina driekovej časti chrbtice a panvy
Trauma a poúrazové stavy;s33-;Vykĺbenie, vyvrtnutie a natiahnutie kĺbov a väzov driekovej chrbtice a panvy
Trauma a poúrazové stavy;s34-;Poranenie nervov a miechy v úrovni brucha, drieku a panvy
Trauma a poúrazové stavy;s35-;Poranenie krvných ciev v úrovni brucha, drieku a panvy
Trauma a poúrazové stavy;s36-;Poranenie vnútrobrušných orgánov
Trauma a poúrazové stavy;s37-;Poranenie močových orgánov a panvových orgánov
Trauma a poúrazové stavy;s38-;Drvivé poranenie a úrazová amputácia časti brucha, drieku a panvy
Trauma a poúrazové stavy;s39-;Iné a bližšie neurčené poranenie brucha, drieku a panvy
Trauma a poúrazové stavy;s40-;Povrchové poranenie pleca a ramena
Trauma a poúrazové stavy;s41-;Otvorená rana pleca a ramena
Trauma a poúrazové stavy;s42-;Zlomenina pleca a ramena
Trauma a poúrazové stavy;s43-;Vykĺbenie, vyvrtnutie a natiahnutie kĺbov a väzov plecového pletenca
Trauma a poúrazové stavy;s44-;Poranenie nervov v úrovni pleca a ramena
Trauma a poúrazové stavy;s45-;Poranenie krvných ciev v úrovni pleca a ramena
Trauma a poúrazové stavy;s46-;Poranenie svalu a šľachy v úrovni pleca a ramena
Trauma a poúrazové stavy;s47;Drvivé poranenie pleca a ramena
Trauma a poúrazové stavy;s48-;Úrazová amputácia pleca a ramena
Trauma a poúrazové stavy;s49-;Iné a bližšie neurčené poranenie pleca a ramena
Trauma a poúrazové stavy;s50-;Povrchové poranenie lakťa a predlaktia
Trauma a poúrazové stavy;s51-;Otvorená rana predlaktia
Trauma a poúrazové stavy;s52-;Zlomenina predlaktia
Trauma a poúrazové stavy;s53-;Vykĺbenie, vyvrtnutie a natiahnutie kĺbov a väzov lakťa
Trauma a poúrazové stavy;s54-;Poranenie nervov v úrovni predlaktia
Trauma a poúrazové stavy;s55-;Poranenie krvných ciev v úrovni predlaktia
Trauma a poúrazové stavy;s56-;Poranenie svalu a šľachy v úrovni predlaktia
Trauma a poúrazové stavy;s57-;Drvivé poranenie predlaktia
Trauma a poúrazové stavy;s58-;Úrazová amputácia lakťa a predlaktia
Trauma a poúrazové stavy;s59-;Iné a bližšie neurčené poranenia predlaktia
Trauma a poúrazové stavy;s60-;Povrchové poranenie zápästia a ruky
Trauma a poúrazové stavy;s61-;Otvorená rana zápästia a ruky
Trauma a poúrazové stavy;s62-;Zlomenina v úrovni zápästia a ruky
Trauma a poúrazové stavy;s63-;Vykĺbenie, vyvrtnutie a natiahnutie kĺbov a väzov v úrovni zápästia a ruky
Trauma a poúrazové stavy;s64-;Poranenie nervov v úrovni zápästia a ruky
Trauma a poúrazové stavy;s65-;Poranenie krvných ciev v úrovni zápästia a ruky
Trauma a poúrazové stavy;s66-;Poranenie svalu a šľachy v úrovni zápästia a ruky
Trauma a poúrazové stavy;s67-;Drvivé poranenie zápästia a ruky
Trauma a poúrazové stavy;s68-;Úrazová amputácia zápästia a ruky
Trauma a poúrazové stavy;s69-;Iné a bližšie neurčené poranenia zápästia a ruky
Trauma a poúrazové stavy;s70-;Povrchové poranenie bedra a stehna
Trauma a poúrazové stavy;s71-;Otvorená rana bedra a stehna
Trauma a poúrazové stavy;s72-;Zlomenina stehnovej kosti
Trauma a poúrazové stavy;s73-;Vykĺbenie, vyvrtnutie a natiahnutie kĺbu a väzov bedra
Trauma a poúrazové stavy;s74-;Poranenie nervu v úrovni bedra a stehna
Trauma a poúrazové stavy;s75-;Poranenie krvných ciev v úrovni bedra a stehna
Trauma a poúrazové stavy;s76-;Poranenie svalu a šľachy v úrovni bedra a stehna
Trauma a poúrazové stavy;s77-;Drvivé poranenie bedra a stehna
Trauma a poúrazové stavy;s78-;Úrazová amputácia bedra a stehna
Trauma a poúrazové stavy;s79-;Iné a bližšie neurčené poranenie bedra a stehna
Trauma a poúrazové stavy;s80-;Povrchové poranenie predkolenia
Trauma a poúrazové stavy;s81-;Otvorená rana predkolenia
Trauma a poúrazové stavy;s82-;Zlomenina predkolenia vrátane členka
Trauma a poúrazové stavy;s83-;Vykĺbenie, vyvrtnutie a natiahnutie kĺbov a väzov kolena
Trauma a poúrazové stavy;s84-;Poranenie nervu v úrovni predkolenia
Trauma a poúrazové stavy;s85-;Poranenie krvných ciev v úrovni predkolenia
Trauma a poúrazové stavy;s86-;Poranenie svalu a šľachy v úrovni predkolenia
Trauma a poúrazové stavy;s87-;Drvivé poranenie predkolenia
Trauma a poúrazové stavy;s88-;Úrazová amputácia predkolenia
Trauma a poúrazové stavy;s89-;Iné a bližšie neurčené poranenie predkolenia
Trauma a poúrazové stavy;s90-;Povrchové poranenie členka a nohy
Trauma a poúrazové stavy;s91-;Otvorená rana členka a nohy
Trauma a poúrazové stavy;s92-;Zlomenina nohy [okrem členka]
Trauma a poúrazové stavy;s93-;Vykĺbenie, vyvrtnutie a natiahnutie kĺbu a väzu v úrovni členka a nohy
Trauma a poúrazové stavy;s94-;Poranenie nervov v úrovni členka a nohy
Trauma a poúrazové stavy;s95-;Poranenie krvných ciev v úrovni členka a nohy
Trauma a poúrazové stavy;s96-;Poranenie svalu a šľachy v úrovni členka a nohy
Trauma a poúrazové stavy;s97-;Drvivé poranenie členka a nohy
Trauma a poúrazové stavy;s98-;Úrazová amputácia členka a nohy
Trauma a poúrazové stavy;s99-;Iné a bližšie neurčené poranenie členka a nohy
Trauma a poúrazové stavy;t00-;Povrchové poranenie viacerých oblastí tela
Trauma a poúrazové stavy;t01-;Otvorená rana postihujúca viaceré oblasti tela
Trauma a poúrazové stavy;t02-;Zlomeniny postihujúce viaceré oblasti tela
Trauma a poúrazové stavy;t03-;Vykĺbenia, vyvrtnutia a natiahnutia postihujúce viaceré oblasti tela
Trauma a poúrazové stavy;t04-;Drvivé poranenie postihujúce viaceré oblasti tela
Trauma a poúrazové stavy;t05-;Úrazová amputácia postihujúca viaceré oblasti tela
Trauma a poúrazové stavy;t06-;Iné poranenia postihujúce viaceré oblasti tela, nezatriedené inde
Trauma a poúrazové stavy;t07;Viaceré poranenia, bližšie neurčené
Trauma a poúrazové stavy;t08-;Zlomenina chrbtice v bližšie neurčenej úrovni
Trauma a poúrazové stavy;t09-;Iné poranenia chrbtice a trupu v bližšie neurčenej úrovni
Trauma a poúrazové stavy;t10-;Zlomenina hornej končatiny v bližšie neurčenej úrovni
Trauma a poúrazové stavy;t11-;Iné poranenie hornej končatiny v bližšie neurčenej úrovni
Trauma a poúrazové stavy;t12-;Zlomenina dolnej končatiny, v bližšie neurčenej úrovni
Trauma a poúrazové stavy;t13-;Iné poranenie dolnej končatiny, v bližšie neurčenej úrovni
Trauma a poúrazové stavy;t14-;Poranenie: oblasť bližšie neurčená tela
Trauma a poúrazové stavy;t20-;Popálenina a poleptanie hlavy a krku
Trauma a poúrazové stavy;t21-;Popálenina a poleptanie trupu
Trauma a poúrazové stavy;t22-;Popálenina a poleptanie pleca a hornej končatiny okrem zápästia a ruky
Trauma a poúrazové stavy;t23-;Popálenina a poleptanie zápästia a ruky
Trauma a poúrazové stavy;t24-;Popálenina a poleptanie bedra a dolnej končatiny okrem členka a nohy
Trauma a poúrazové stavy;t25-;Popálenina a poleptanie členka a nohy
Trauma a poúrazové stavy;t29-;Popálenina a poleptania viacerých častí tela
Trauma a poúrazové stavy;t30-;Popálenina a poleptanie: oblasť bližšie neurčená tela
Trauma a poúrazové stavy;t31-;Popáleniny zatriedené podľa rozsahu postihnutého povrchu tela
Trauma a poúrazové stavy;t32-;Poleptania zatriedené podľa rozsahu postihnutého povrchu tela
Trauma a poúrazové stavy;t33-;Povrchová omrzlina
Trauma a poúrazové stavy;t34-;Omrzlina s nekrózou tkaniva
Trauma a poúrazové stavy;t35-;Omrzlina postihujúca viaceré časti tela a bližšie neurčená omrzlina
Trauma a poúrazové stavy;t690;Ruka a noha vystavená vlhkému chladu
Trauma a poúrazové stavy;t691;Oziabliny
Trauma a poúrazové stavy;t79-;Určité včasné komplikácie úrazu, nezatriedené inde
Trauma a poúrazové stavy;t84-;Komplikácia zapríčinená vnútornou ortopedickou protézou, implantátom a transplantátom
Trauma a poúrazové stavy;t865-;Zlyhávanie a odvrhnutie transplantovanej kože
Trauma a poúrazové stavy;t87-;Komplikácia charakteristická pre replantáciu a amputáciu
Trauma a poúrazové stavy;t89-;Iná komplikácia úrazu, bližšie určená
Trauma a poúrazové stavy;t90-;Neskoré následky poranenia hlavy
Trauma a poúrazové stavy;t91-;Neskoré následky poranenia krku a trupu
Trauma a poúrazové stavy;t92-;Neskoré následky poranenia hornej končatiny
Trauma a poúrazové stavy;t93-;Neskoré následky poranenia dolnej končatiny
Trauma a poúrazové stavy;t94-;Neskoré následky poranenia viacerých a bližšie neurčených oblastí tela
Trauma a poúrazové stavy;t95-;Neskoré následky popálenia, poleptania a omrzlín
Trauma a poúrazové stavy;t982;Neskoré následky niektorých včasných komplikácií úrazov
Trauma a poúrazové stavy;t983;Neskoré následky komplikácií chirurgického výkonu a lekárskej starostlivosti, nezatriedené inde
Vrodená vývojová chyba genitálu;q50-;Vrodená chyba vaječníkov, vajíčkovodov a širokých väzov maternice
Vrodená vývojová chyba genitálu;q51-;Vrodená chyba maternice a krčka maternice
Vrodená vývojová chyba genitálu;q52-;Iná vrodená chyba ženských pohlavných orgánov
Vrodené koagulopatie - komplexná liečba pri veľkom krvácaní, pri plánovanej operácii a imunotolerančná liečba;d66;Dedičný nedostatok faktora VIII
Vrodené koagulopatie - komplexná liečba pri veľkom krvácaní, pri plánovanej operácii a imunotolerančná liečba;d67;Dedičný nedostatok faktora IX
Vrodené koagulopatie - komplexná liečba pri veľkom krvácaní, pri plánovanej operácii a imunotolerančná liečba;d680;Von Willebrandova choroba
Vrodené koagulopatie - komplexná liečba pri veľkom krvácaní, pri plánovanej operácii a imunotolerančná liečba;d681;Dedičný nedostatok faktora XI
Vrodené koagulopatie - komplexná liečba pri veľkom krvácaní, pri plánovanej operácii a imunotolerančná liečba;d682;Dedičný nedostatok iných koagulačných faktorov
Vrodené vývojové choroby CNS;q00-;Anencefalus a podobná vrodená chyba
Vrodené vývojové choroby CNS;q01-;Encefalokéla
Vrodené vývojové choroby CNS;q02;Mikrocefália
Vrodené vývojové choroby CNS;q03-;Vrodený hydrocefalus
Vrodené vývojové choroby CNS;q04-;Iná vrodená chyba mozgu
Vrodené vývojové choroby CNS;q05-;Rázštep chrbtice [Spina bifida]
Vrodené vývojové choroby CNS;q06-;Iná vrodená chyba miechy
Vrodené vývojové choroby CNS;q07-;Iná vrodená chyba nervovej sústavy
Vrodené vývojové choroby CNS;q280-;Artériovenózna chyba precerebrálnych ciev
Vrodené vývojové choroby CNS;q281-;Iná chyba precerebrálnych ciev
Vrodené vývojové choroby CNS;q282-;Artériovenózna chyba cerebrálnych ciev
Vrodené vývojové choroby CNS;q283-;Iné chyby mozgových ciev
Vrodené vývojové choroby CNS;q760;Skrytý rázštep chrbtice [Spina bifida occulta]
